TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,label
TX000001,AC00128,14.09,2023-04-11 16:29:14,Debit,Sylhet,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,2024-11-04 08:08:08,0
TX000002,AC00455,376.24,2023-06-27 16:44:19,Debit,Dhaka,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91,2024-11-04 08:09:35,0
TX000003,AC00019,126.29,2023-07-10 18:16:08,Debit,Rajshahi,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,2024-11-04 08:07:04,0
TX000004,AC00070,184.5,2023-05-05 16:32:11,Debit,Dhaka,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,2024-11-04 08:09:06,0
TX000005,AC00411,13.45,2023-10-16 17:51:24,Credit,Dhaka,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,2024-11-04 08:06:39,0
TX000006,AC00393,92.15,2023-04-03 17:15:01,Debit,Dhaka,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,2024-11-04 08:06:36,0
TX000007,AC00199,7.08,2023-02-15 16:36:48,Credit,Rajshahi,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,2024-11-04 08:10:09,0
TX000008,AC00069,171.42,2023-05-08 17:47:59,Credit,Dhaka,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,2024-11-04 08:10:55,0
TX000009,AC00135,106.23,2023-03-21 16:59:46,Credit,Khulna,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14,2024-11-04 08:11:14,0
TX000010,AC00385,815.96,2023-03-31 16:06:57,Debit,Sylhet,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88,2024-11-04 08:06:32,0
TX000011,AC00150,17.78,2023-03-14 16:46:10,Credit,Dhaka,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,7599.52,2024-11-04 08:06:45,0
TX000012,AC00459,190.02,2023-02-06 17:30:00,Debit,Dhaka,D000589,116.175.11.222,M030,Online,21,Student,173,1,1528.81,2024-11-04 08:07:12,0
TX000013,AC00392,494.52,2023-06-07 17:21:28,Credit,Khulna,D000032,210.98.198.143,M057,Branch,24,Student,111,1,1620.02,2024-11-04 08:08:38,0
TX000014,AC00264,781.76,2023-11-20 16:39:15,Debit,Dhaka,D000054,193.83.0.183,M025,ATM,26,Student,123,1,189.69,2024-11-04 08:07:06,0
TX000015,AC00085,166.99,2023-02-13 16:53:57,Debit,Khulna,D000309,188.124.181.12,M017,Online,18,Student,134,1,299.93,2024-11-04 08:10:09,0
TX000016,AC00270,465.45,2023-12-12 16:23:31,Debit,Khulna,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,3465.54,2024-11-04 08:12:19,0
TX000017,AC00317,555.8,2023-10-30 16:52:49,Credit,Chittagong,D000671,53.218.177.171,M048,Branch,19,Student,158,1,1131.26,2024-11-04 08:07:35,0
TX000018,AC00359,492.93,2023-12-14 18:32:14,Debit,Khulna,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,5109.97,2024-11-04 08:11:51,0
TX000019,AC00242,18.68,2023-02-21 16:56:50,Credit,Khulna,D000530,93.218.115.132,M054,Branch,59,Retired,106,1,7948.37,2024-11-04 08:12:01,0
TX000020,AC00285,71.48,2023-06-08 18:18:50,Credit,Chittagong,D000039,120.170.93.69,M039,Online,18,Student,169,1,6568.59,2024-11-04 08:09:20,0
TX000021,AC00002,59.32,2023-02-28 16:36:58,Debit,Chittagong,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,2024-11-04 08:09:24,0
TX000022,AC00014,85.77,2023-08-11 18:31:31,Debit,Chittagong,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,2024-11-04 08:08:13,0
TX000023,AC00095,52.2,2023-06-06 18:54:15,Debit,Khulna,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93,2024-11-04 08:07:01,0
