URL,TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,label
https://stripe.com/time-daughter-care,TX000001,AC60409,3473.15,2025-01-25 15:34:24,Credit,Barisal,D710824,151.128.170.200,M972,POS,56,Businessman,277,5,16754.01,2024-12-13 15:34:24,0
https://americanexpress.com/church-back-require,TX000002,AC78434,4736.36,2025-11-01 14:25:49,Credit,Dhaka,D468190,196.130.155.86,M198,Online,24,Teacher,32,5,14932.66,2025-10-09 14:25:49,0
https://stripe.com/draw-degree-simple,TX000003,AC76900,3094.34,2024-02-21 11:16:01,Credit,Khulna,D327385,138.129.43.21,M526,ATM,72,Businessman,283,3,6594.03,2023-12-30 11:16:01,0
https://paypal.com/respond-sound-view,TX000004,AC10607,4674.42,2025-09-10 12:50:45,Debit,Sylhet,D932847,214.30.69.239,M832,Online,45,Lawyer,146,3,40608.62,2025-07-30 12:50:45,0
https://stripe.com/throughout-be-exist,TX000005,AC65179,1267.8,2025-04-14 23:35:19,Debit,Sylhet,D787060,153.234.37.205,M629,MobileApp,62,Teacher,125,3,2096.59,2025-03-31 23:35:19,0
https://chase.com/your-arm-example,TX000006,AC26177,1023.09,2024-12-07 12:21:53,Debit,Khulna,D272550,2.61.237.134,M622,MobileApp,51,Student,280,4,32227.28,2024-11-14 12:21:53,0
https://hsbc.com/source-personal,TX000007,AC60488,3615.36,2025-11-09 21:58:40,Credit,Rajshahi,D556139,73.137.213.140,M609,POS,72,Engineer,180,1,20937.51,2025-10-10 21:58:40,0
https://hsbc.com/attention-across,TX000008,AC55299,1502.62,2024-10-23 04:26:37,Credit,Barisal,D479673,219.167.104.158,M855,ATM,69,Businessman,155,5,24687.87,2024-08-29 04:26:37,0
https://paypal.com/together-news-whole,TX000009,AC47481,112.95,2025-11-24 19:08:16,Credit,Rajshahi,D182024,202.12.185.3,M450,MobileApp,58,Lawyer,214,4,36913.38,2025-10-23 19:08:16,0
https://bkas.com/street-suffer-wall,TX000010,AC70368,2751.28,2023-11-28 04:52:20,Credit,Chittagong,D432037,76.136.73.3,M530,POS,31,Businessman,123,5,22481.27,2023-11-24 04:52:20,0
https://paytm.com/study-field,TX000011,AC85424,2255.34,2025-08-28 03:34:50,Debit,Dhaka,D754559,106.212.231.190,M664,POS,36,Teacher,250,3,1933.33,2025-07-31 03:34:50,0
https://americanexpress.com/pm-off-first,TX000012,AC39415,2054.38,2023-12-29 06:42:54,Credit,Barisal,D135561,90.145.42.133,M833,POS,57,Engineer,167,2,46845.29,2023-11-23 06:42:54,0
https://stripe.com/seek-citizen-finish,TX000013,AC38880,1634.53,2025-03-24 05:30:08,Debit,Rajshahi,D280186,119.106.4.32,M579,MobileApp,43,Lawyer,258,3,30120.27,2025-02-24 05:30:08,0
https://bankofamerica.com/arrive-take-there,TX000014,AC78249,3251.55,2025-09-08 06:47:14,Credit,Dhaka,D334052,216.209.152.125,M967,POS,55,Businessman,108,1,41861.97,2025-09-02 06:47:14,0
https://chase.com/his-herself,TX000015,AC37471,4853.66,2024-08-14 23:26:23,Debit,Dhaka,D590158,210.181.157.94,M312,POS,26,Student,21,2,22883.55,2024-07-03 23:26:23,0
https://paypal.com/however-imagine-hit,TX000016,AC77077,1424.87,2025-10-04 01:33:57,Credit,Sylhet,D323827,81.217.205.221,M230,POS,53,Businessman,189,3,3615.48,2025-09-29 01:33:57,0
https://bankofamerica.com/especially-market,TX000017,AC94200,4760.18,2024-10-29 06:31:09,Debit,Dhaka,D766536,130.133.147.193,M635,ATM,71,Teacher,239,5,38754.57,2024-10-28 06:31:09,0
https://americanexpress.com/away-step-sometimes,TX000018,AC88480,2527.7,2024-03-02 05:08:43,Credit,Khulna,D990066,201.63.114.123,M895,MobileApp,71,Banker,297,1,33566.15,2024-02-04 05:08:43,0
https://americanexpress.com/condition-reach,TX000019,AC21118,1754.03,2024-06-24 08:25:31,Credit,Khulna,D971468,55.208.90.220,M129,MobileApp,33,Student,232,2,6000.92,2024-06-04 08:25:31,0
https://chase.com/control-peace,TX000020,AC68789,490.54,2025-02-05 23:17:45,Debit,Dhaka,D571985,203.111.183.130,M660,POS,27,Lawyer,174,2,16980.87,2025-01-05 23:17:45,0
https://chase.com/positive-pass,TX000021,AC82303,3475.26,2025-07-12 21:11:07,Credit,Rajshahi,D695017,217.54.128.80,M426,MobileApp,58,Engineer,167,5,19192.51,2025-05-22 21:11:07,0
https://paypal.com/still-treat,TX000022,AC71698,249.4,2025-05-06 10:18:25,Debit,Sylhet,D745260,71.191.1.145,M506,POS,56,Student,240,4,42205.96,2025-04-24 10:18:25,0
https://americanexpress.com/impact-ground-have,TX000023,AC66193,264.55,2025-01-12 18:58:02,Credit,Dhaka,D544030,214.174.126.149,M552,ATM,44,Teacher,69,5,195.21,2024-12-26 18:58:02,0
https://bankofamerica.com/value-true-ball,TX000024,AC29183,2789.91,2025-01-05 13:19:05,Debit,Chittagong,D519612,192.89.118.158,M290,Online,47,Banker,54,4,44178.93,2024-12-12 13:19:05,0
https://paypal.com/real-mention,TX000025,AC79240,777.06,2024-11-24 16:11:31,Credit,Chittagong,D280373,158.128.221.166,M415,POS,54,Doctor,31,5,48418.59,2024-11-23 16:11:31,0
https://nagad.com/hit-eight-tend-one,TX000026,AC63249,1937.46,2024-12-02 21:21:53,Debit,Barisal,D234932,211.197.50.97,M564,Online,46,Engineer,169,3,5168.9,2024-11-11 21:21:53,0
https://paypal.com/hotel-policy-down,TX000027,AC35054,3284.49,2025-02-04 19:24:04,Credit,Dhaka,D514404,24.204.76.90,M474,MobileApp,35,Engineer,230,5,1525.93,2024-12-08 19:24:04,0
https://skrill.com/husband-day-fall,TX000028,AC30043,766.85,2024-03-27 23:36:48,Debit,Sylhet,D404590,124.145.198.36,M389,ATM,43,Doctor,172,5,5558.43,2024-02-28 23:36:48,0
https://payoneer.com/plant-result-hand,TX000029,AC35105,4049.46,2024-08-08 06:51:18,Credit,Rajshahi,D642859,168.140.240.138,M674,POS,75,Engineer,300,3,12349.52,2024-07-03 06:51:18,0
https://payoneer.com/approach-others,TX000030,AC83978,1423.07,2025-05-18 21:13:54,Debit,Barisal,D466745,142.57.228.43,M166,ATM,57,Doctor,299,2,28428.15,2025-05-03 21:13:54,0
https://payoneer.com/base-life-personal,TX000031,AC87738,1537.77,2025-05-29 09:44:26,Credit,Chittagong,D347900,151.211.222.94,M800,ATM,74,Businessman,276,5,46617.07,2025-05-12 09:44:26,0
https://paytm.com/perhaps-pay-boy,TX000032,AC82378,272.36,2025-05-21 12:01:33,Credit,Khulna,D474334,59.134.99.212,M221,Online,24,Student,132,4,12681.76,2025-05-18 12:01:33,0
